"Entity","Label","Type","Class"
"nevgr","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"nr","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alvays","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwahs","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"blways","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"glways","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"nevar","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"nevnr","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwayk","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alweys","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwais","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"nhver","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwaos","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"tlways","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"amways","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"anways","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"slways","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"aldays","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwayl","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwvys","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"algays","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwams","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"wever","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwwys","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"aiways","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwayh","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"nlways","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwoys","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"aluays","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"auways","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwayq","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwayu","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"allays","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"afways","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"nk","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"yever","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"nzver","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"alwans","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"inside","STUDY_LOCATION","text","Risk Indicator (RI)"
"both","STUDY_LOCATION","text","Risk Indicator (RI)"
"b","STUDY_LOCATION","text","Risk Indicator (RI)"
"inslde","STUDY_LOCATION","text","Risk Indicator (RI)"
"insive","STUDY_LOCATION","text","Risk Indicator (RI)"
"ijside","STUDY_LOCATION","text","Risk Indicator (RI)"
"inswde","STUDY_LOCATION","text","Risk Indicator (RI)"
"nr","STUDY_LOCATION","text","Risk Indicator (RI)"
"igside","STUDY_LOCATION","text","Risk Indicator (RI)"
"lnside","STUDY_LOCATION","text","Risk Indicator (RI)"
"insdde","STUDY_LOCATION","text","Risk Indicator (RI)"
"insidh","STUDY_LOCATION","text","Risk Indicator (RI)"
"jnside","STUDY_LOCATION","text","Risk Indicator (RI)"
"outside","STUDY_LOCATION","text","Risk Indicator (RI)"
"insrde","STUDY_LOCATION","text","Risk Indicator (RI)"
"insibe","STUDY_LOCATION","text","Risk Indicator (RI)"
"inuide","STUDY_LOCATION","text","Risk Indicator (RI)"
"insiqe","STUDY_LOCATION","text","Risk Indicator (RI)"
"insidw","STUDY_LOCATION","text","Risk Indicator (RI)"
"infide","STUDY_LOCATION","text","Risk Indicator (RI)"
"ingide","STUDY_LOCATION","text","Risk Indicator (RI)"
"a","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"none","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"all","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"all that open","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nmne","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"spme","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"some","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"gome","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nr","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"somf","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"unk","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"dome","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"np","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"ntne","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"ndne","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nonu","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"fone","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"snme","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"u","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nonh","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"lone","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nkne","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nose","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nong","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"noze","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nsne","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"zone","STUDY_INSIDE_SCREEN","text","Risk Indicator (RI)"
"aliays","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"never","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"sometimes","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"always","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"somewimes","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"apways","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"alwaos","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"nr","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"nnver","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"qever","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"algays","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"spmetimes","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"rlways","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"alwaqs","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"neveo","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"fever","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"sometises","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"nevei","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"svmetimes","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"alwaps","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"vometimes","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"nbver","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"nyver","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"sometpmes","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"sjmetimes","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"nevej","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"alwayb","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"alwayp","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"somepimes","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"neveh","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"neler","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"aqways","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"alweys","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"nevsr","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"sometimem","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"sometimrs","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"nqver","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"adways","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"azways","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"alnays","STUDY_INSIDE_AC","text","Risk Indicator (RI)"
"yes","INSURANCE","text","Disparity Indicators (DI)"
"y","INSURANCE","text","Disparity Indicators (DI)"
"no","INSURANCE","text","Disparity Indicators (DI)"
"no","PREGNANT","text","Disparity Indicators (DI)"
"nr","PREGNANT","text","Disparity Indicators (DI)"
"n","PREGNANT","text","Disparity Indicators (DI)"
"yes","PREGNANT","text","Disparity Indicators (DI)"
"unk","PREGNANT","text","Disparity Indicators (DI)"
"u","PREGNANT","text","Disparity Indicators (DI)"
"no","VAX_FLU","text","Preventive Behaviors (PB)"
"yes","VAX_FLU","text","Preventive Behaviors (PB)"
"n","VAX_FLU","text","Preventive Behaviors (PB)"
"y","VAX_FLU","text","Preventive Behaviors (PB)"
"nr","VAX_FLU","text","Preventive Behaviors (PB)"
"unk","VAX_FLU","text","Preventive Behaviors (PB)"
"tr","VAX_FLU","text","Preventive Behaviors (PB)"
"no","COVID_POSITIVE","text","Clinical History (CH)"
"yes","COVID_POSITIVE","text","Clinical History (CH)"
"y","COVID_POSITIVE","text","Clinical History (CH)"
"n","COVID_POSITIVE","text","Clinical History (CH)"
"nr","COVID_POSITIVE","text","Clinical History (CH)"
"unk","COVID_POSITIVE","text","Clinical History (CH)"
"yes","COVID_VAX","text","Preventive Behaviors (PB)"
"no","COVID_VAX","text","Preventive Behaviors (PB)"
"y","COVID_VAX","text","Preventive Behaviors (PB)"
"n","COVID_VAX","text","Preventive Behaviors (PB)"
"q doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"l doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 doqes","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 dosej","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"o doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"4 doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 doscs","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"1 dose","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"d doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"z doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"c doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"n doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dosus","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"nr","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dosew","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"a doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dofes","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"j doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dosep","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"k doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 dosss","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"b doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dosns","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"p doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"r doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 ddses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"e doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dpses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"4 dosys","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 doees","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"s doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dosen","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 dkses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 dodes","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"v doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"w doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dosys","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dbses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 doset","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 doles","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dosez","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dosjs","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 dosls","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 voses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 uoses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"g doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"h doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"m doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"t doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dsses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dcses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"f doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 dones","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 djses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dlses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"4 dozes","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 doces","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 domes","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"i doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 dosgs","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 doxes","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 dosrs","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"y doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"x doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 doces","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 dosys","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 dosep","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dosms","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 koses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dosrs","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 dosey","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 dosxs","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dosis","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 doaes","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 poses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 loses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 joses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 drses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"u doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 dosxs","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 moses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 doseu","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"unk","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 qoses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"3 doues","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"no","ILL0","text","Clinical History (CH)"
"yes","ILL0","text","Clinical History (CH)"
"n","ILL0","text","Clinical History (CH)"
"nr","ILL0","text","Clinical History (CH)"
"y","ILL0","text","Clinical History (CH)"
"unk","ILL0","text","Clinical History (CH)"
"np","ILL0","text","Clinical History (CH)"
"no","SOUGHT_CARE_L7D","text","Clinical History (CH)"
"yes","SOUGHT_CARE_L7D","text","Clinical History (CH)"
"n","SOUGHT_CARE_L7D","text","Clinical History (CH)"
"y","SOUGHT_CARE_L7D","text","Clinical History (CH)"
"no","ILL0_HOSPITALIZED","text","Clinical History (CH)"
"n","ILL0_HOSPITALIZED","text","Clinical History (CH)"
"no","ILL1","text","Clinical History (CH)"
"yes","ILL1","text","Clinical History (CH)"
"n","ILL1","text","Clinical History (CH)"
"nr","ILL1","text","Clinical History (CH)"
"y","ILL1","text","Clinical History (CH)"
"yes","SOUGHT_CARE_L12MO","text","Clinical History (CH)"
"no","SOUGHT_CARE_L12MO","text","Clinical History (CH)"
"n","SOUGHT_CARE_L12MO","text","Clinical History (CH)"
"nr","SOUGHT_CARE_L12MO","text","Clinical History (CH)"
"y","SOUGHT_CARE_L12MO","text","Clinical History (CH)"
"no","ILL1_HOSPITALIZED","text","Clinical History (CH)"
"n","ILL1_HOSPITALIZED","text","Clinical History (CH)"
"yes","ILL1_HOSPITALIZED","text","Clinical History (CH)"
"nr","ILL1_HOSPITALIZED","text","Clinical History (CH)"
"daily","BITE_FREQUENCY","text","Risk Perception (RP)"
"sometimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"daiey","BITE_FREQUENCY","text","Risk Perception (RP)"
"rarely","BITE_FREQUENCY","text","Risk Perception (RP)"
"weekly","BITE_FREQUENCY","text","Risk Perception (RP)"
"nr","BITE_FREQUENCY","text","Risk Perception (RP)"
"never","BITE_FREQUENCY","text","Risk Perception (RP)"
"rarcly","BITE_FREQUENCY","text","Risk Perception (RP)"
"sowetimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"sometines","BITE_FREQUENCY","text","Risk Perception (RP)"
"somerimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"doily","BITE_FREQUENCY","text","Risk Perception (RP)"
"rarnly","BITE_FREQUENCY","text","Risk Perception (RP)"
"zever","BITE_FREQUENCY","text","Risk Perception (RP)"
"nbver","BITE_FREQUENCY","text","Risk Perception (RP)"
"daisy","BITE_FREQUENCY","text","Risk Perception (RP)"
"sometires","BITE_FREQUENCY","text","Risk Perception (RP)"
"dometimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"sometimys","BITE_FREQUENCY","text","Risk Perception (RP)"
"rarbly","BITE_FREQUENCY","text","Risk Perception (RP)"
"dailc","BITE_FREQUENCY","text","Risk Perception (RP)"
"rapely","BITE_FREQUENCY","text","Risk Perception (RP)"
"somttimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"somutimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"rahely","BITE_FREQUENCY","text","Risk Perception (RP)"
"jarely","BITE_FREQUENCY","text","Risk Perception (RP)"
"sometipes","BITE_FREQUENCY","text","Risk Perception (RP)"
"rvrely","BITE_FREQUENCY","text","Risk Perception (RP)"
"somztimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"somepimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"nevmr","BITE_FREQUENCY","text","Risk Perception (RP)"
"somehimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"yarely","BITE_FREQUENCY","text","Risk Perception (RP)"
"rtrely","BITE_FREQUENCY","text","Risk Perception (RP)"
"rkrely","BITE_FREQUENCY","text","Risk Perception (RP)"
"rareay","BITE_FREQUENCY","text","Risk Perception (RP)"
"rarelp","BITE_FREQUENCY","text","Risk Perception (RP)"
"rnrely","BITE_FREQUENCY","text","Risk Perception (RP)"
"dzily","BITE_FREQUENCY","text","Risk Perception (RP)"
"rareny","BITE_FREQUENCY","text","Risk Perception (RP)"
"nefer","BITE_FREQUENCY","text","Risk Perception (RP)"
"nemer","BITE_FREQUENCY","text","Risk Perception (RP)"
"weekoy","BITE_FREQUENCY","text","Risk Perception (RP)"
"daely","BITE_FREQUENCY","text","Risk Perception (RP)"
"rarelv","BITE_FREQUENCY","text","Risk Perception (RP)"
"webkly","BITE_FREQUENCY","text","Risk Perception (RP)"
"somjtimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"soxetimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"rarelb","BITE_FREQUENCY","text","Risk Perception (RP)"
"daiuy","BITE_FREQUENCY","text","Risk Perception (RP)"
"nevei","BITE_FREQUENCY","text","Risk Perception (RP)"
"rayely","BITE_FREQUENCY","text","Risk Perception (RP)"
"iaily","BITE_FREQUENCY","text","Risk Perception (RP)"
"rately","BITE_FREQUENCY","text","Risk Perception (RP)"
"xarely","BITE_FREQUENCY","text","Risk Perception (RP)"
"rarelh","BITE_FREQUENCY","text","Risk Perception (RP)"
"sommtimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"sometiyes","BITE_FREQUENCY","text","Risk Perception (RP)"
"someximes","BITE_FREQUENCY","text","Risk Perception (RP)"
"raruly","BITE_FREQUENCY","text","Risk Perception (RP)"
"rarecy","BITE_FREQUENCY","text","Risk Perception (RP)"
"rlrely","BITE_FREQUENCY","text","Risk Perception (RP)"
"waekly","BITE_FREQUENCY","text","Risk Perception (RP)"
"rbrely","BITE_FREQUENCY","text","Risk Perception (RP)"
"hr","BITE_FREQUENCY","text","Risk Perception (RP)"
"daiky","BITE_FREQUENCY","text","Risk Perception (RP)"
"pometimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"xever","BITE_FREQUENCY","text","Risk Perception (RP)"
"sometimbs","BITE_FREQUENCY","text","Risk Perception (RP)"
"rometimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"wexkly","BITE_FREQUENCY","text","Risk Perception (RP)"
"someoimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"drily","BITE_FREQUENCY","text","Risk Perception (RP)"
"ngver","BITE_FREQUENCY","text","Risk Perception (RP)"
"rarelc","BITE_FREQUENCY","text","Risk Perception (RP)"
"rarelu","BITE_FREQUENCY","text","Risk Perception (RP)"
"sometcmes","BITE_FREQUENCY","text","Risk Perception (RP)"
"rareld","BITE_FREQUENCY","text","Risk Perception (RP)"
"rerely","BITE_FREQUENCY","text","Risk Perception (RP)"
"nkver","BITE_FREQUENCY","text","Risk Perception (RP)"
"sometimem","BITE_FREQUENCY","text","Risk Perception (RP)"
"rareqy","BITE_FREQUENCY","text","Risk Perception (RP)"
"sometimea","BITE_FREQUENCY","text","Risk Perception (RP)"
"sxmetimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"rhrely","BITE_FREQUENCY","text","Risk Perception (RP)"
"aarely","BITE_FREQUENCY","text","Risk Perception (RP)"
"dailf","BITE_FREQUENCY","text","Risk Perception (RP)"
"somebimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"rsrely","BITE_FREQUENCY","text","Risk Perception (RP)"
"eometimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"dainy","BITE_FREQUENCY","text","Risk Perception (RP)"
"yometimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"daiyy","BITE_FREQUENCY","text","Risk Perception (RP)"
"rareiy","BITE_FREQUENCY","text","Risk Perception (RP)"
"somesimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"dailm","BITE_FREQUENCY","text","Risk Perception (RP)"
"rareyy","BITE_FREQUENCY","text","Risk Perception (RP)"
"daply","BITE_FREQUENCY","text","Risk Perception (RP)"
"daity","BITE_FREQUENCY","text","Risk Perception (RP)"
"no","HX_DENV","text","Risk Perception (RP)"
"yes","HX_DENV","text","Risk Perception (RP)"
"unk","HX_DENV","text","Risk Perception (RP)"
"n","HX_DENV","text","Risk Perception (RP)"
"u","HX_DENV","text","Risk Perception (RP)"
"y","HX_DENV","text","Risk Perception (RP)"
"nr","HX_DENV","text","Risk Perception (RP)"
"yes","HX_DENV_KNOWN","text","Risk Perception (RP)"
"no","HX_DENV_KNOWN","text","Risk Perception (RP)"
"unk","HX_DENV_KNOWN","text","Risk Perception (RP)"
"n","HX_DENV_KNOWN","text","Risk Perception (RP)"
"nr","HX_DENV_KNOWN","text","Risk Perception (RP)"
"y","HX_DENV_KNOWN","text","Risk Perception (RP)"
"ns","HX_DENV_KNOWN","text","Risk Perception (RP)"
"u","HX_DENV_KNOWN","text","Risk Perception (RP)"
"y","DENGUE_DEATH","text","Risk Perception (RP)"
"yes","DENGUE_DEATH","text","Risk Perception (RP)"
"unk","DENGUE_DEATH","text","Risk Perception (RP)"
"no","DENGUE_DEATH","text","Risk Perception (RP)"
"n","DENGUE_DEATH","text","Risk Perception (RP)"
"nr","DENGUE_DEATH","text","Risk Perception (RP)"
"u","DENGUE_DEATH","text","Risk Perception (RP)"
"nm","DENGUE_DEATH","text","Risk Perception (RP)"
"yes","VAX_DENV_FREE","text","Preventive Behaviors (PB)"
"no","VAX_DENV_FREE","text","Preventive Behaviors (PB)"
"y","VAX_DENV_FREE","text","Preventive Behaviors (PB)"
"unk","VAX_DENV_FREE","text","Preventive Behaviors (PB)"
"u","VAX_DENV_FREE","text","Preventive Behaviors (PB)"
"nr","VAX_DENV_FREE","text","Preventive Behaviors (PB)"
"n","VAX_DENV_FREE","text","Preventive Behaviors (PB)"
"yes","CHILD_UNDER18","text","Disparity Indicators (DI)"
"no","CHILD_UNDER18","text","Disparity Indicators (DI)"
"nr","CHILD_UNDER18","text","Disparity Indicators (DI)"
"n","CHILD_UNDER18","text","Disparity Indicators (DI)"
"y","CHILD_UNDER18","text","Disparity Indicators (DI)"
"mr","CHILD_UNDER18","text","Disparity Indicators (DI)"
"high","DENV_RISK","text","Risk Perception (RP)"
"none","DENV_RISK","text","Risk Perception (RP)"
"low","DENV_RISK","text","Risk Perception (RP)"
"l","DENV_RISK","text","Risk Perception (RP)"
"noue","DENV_RISK","text","Risk Perception (RP)"
"h","DENV_RISK","text","Risk Perception (RP)"
"nr","DENV_RISK","text","Risk Perception (RP)"
"npne","DENV_RISK","text","Risk Perception (RP)"
"none dx","DENV_RISK","text","Risk Perception (RP)"
"note","DENV_RISK","text","Risk Perception (RP)"
"oone","DENV_RISK","text","Risk Perception (RP)"
"nt","DENV_RISK","text","Risk Perception (RP)"
"nons","DENV_RISK","text","Risk Perception (RP)"
"nonb","DENV_RISK","text","Risk Perception (RP)"
"unk","VAX_DENV_RECOMMENDED","text","Risk Indicator (RI)"
"yes","VAX_DENV_RECOMMENDED","text","Risk Indicator (RI)"
"no","VAX_DENV_RECOMMENDED","text","Risk Indicator (RI)"
"n","VAX_DENV_RECOMMENDED","text","Risk Indicator (RI)"
"nr","VAX_DENV_RECOMMENDED","text","Risk Indicator (RI)"
"y","VAX_DENV_RECOMMENDED","text","Risk Indicator (RI)"
"no","VAX_DENV_CHILDREN","text","Preventive Behaviors (PB)"
"yes","VAX_DENV_CHILDREN","text","Preventive Behaviors (PB)"
"n","VAX_DENV_CHILDREN","text","Preventive Behaviors (PB)"
"nr","VAX_DENV_CHILDREN","text","Preventive Behaviors (PB)"
