"Entity","Label","Type","Class"
"unk","VAX_FLU","text","Preventive Behaviors (PB)"
"nr","VAX_FLU","text","Preventive Behaviors (PB)"
"no","COVID_POSITIVE","text","Clinical History (CH)"
"yes","COVID_POSITIVE","text","Clinical History (CH)"
"unk","COVID_POSITIVE","text","Clinical History (CH)"
"nr","COVID_POSITIVE","text","Clinical History (CH)"
"yes","COVID_VAX","text","Preventive Behaviors (PB)"
"nr","COVID_VAX","text","Preventive Behaviors (PB)"
"no","COVID_VAX","text","Preventive Behaviors (PB)"
"3 doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"2 doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"4 doses","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"1 dose","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"nr","COVID_VAX_DOSES","text","Preventive Behaviors (PB)"
"no","ILL0","text","Clinical History (CH)"
"yes","ILL0","text","Clinical History (CH)"
"unk","ILL0","text","Clinical History (CH)"
"nr","ILL0","text","Clinical History (CH)"
"yes","SOUGHT_CARE_L7D","text","Clinical History (CH)"
"no","SOUGHT_CARE_L7D","text","Clinical History (CH)"
"no","ILL0_HOSPITALIZED","text","Clinical History (CH)"
"no","ILL1","text","Clinical History (CH)"
"yes","ILL1","text","Clinical History (CH)"
"nr","ILL1","text","Clinical History (CH)"
"yes","SOUGHT_CARE_L12MO","text","Clinical History (CH)"
"no","SOUGHT_CARE_L12MO","text","Clinical History (CH)"
"nr","SOUGHT_CARE_L12MO","text","Clinical History (CH)"
"no","ILL1_HOSPITALIZED","text","Clinical History (CH)"
"yes","ILL1_HOSPITALIZED","text","Clinical History (CH)"
"sometimes","BITE_FREQUENCY","text","Risk Perception (RP)"
"never","BITE_FREQUENCY","text","Risk Perception (RP)"
"rarely","BITE_FREQUENCY","text","Risk Perception (RP)"
"daily","BITE_FREQUENCY","text","Risk Perception (RP)"
"weekly","BITE_FREQUENCY","text","Risk Perception (RP)"
"nr","BITE_FREQUENCY","text","Risk Perception (RP)"
"yes","HX_DENV","text","Risk Perception (RP)"
"no","HX_DENV","text","Risk Perception (RP)"
"unk","HX_DENV","text","Risk Perception (RP)"
"nr","HX_DENV","text","Risk Perception (RP)"
"yes","HX_DENV_KNOWN","text","Risk Perception (RP)"
"no","HX_DENV_KNOWN","text","Risk Perception (RP)"
"unk","HX_DENV_KNOWN","text","Risk Perception (RP)"
"nr","HX_DENV_KNOWN","text","Risk Perception (RP)"
"no","DENGUE_DEATH","text","Risk Perception (RP)"
"yes","DENGUE_DEATH","text","Risk Perception (RP)"
"unk","DENGUE_DEATH","text","Risk Perception (RP)"
"nr","DENGUE_DEATH","text","Risk Perception (RP)"
"yes","VAX_DENV_FREE","text","Preventive Behaviors (PB)"
"nr","VAX_DENV_FREE","text","Preventive Behaviors (PB)"
"no","VAX_DENV_FREE","text","Preventive Behaviors (PB)"
"unk","VAX_DENV_FREE","text","Preventive Behaviors (PB)"
"yes","CHILD_UNDER18","text","Disparity Indicators (DI)"
"no","CHILD_UNDER18","text","Disparity Indicators (DI)"
"nr","CHILD_UNDER18","text","Disparity Indicators (DI)"
"low","DENV_RISK","text","Risk Perception (RP)"
"high","DENV_RISK","text","Risk Perception (RP)"
"none","DENV_RISK","text","Risk Perception (RP)"
"nr","DENV_RISK","text","Risk Perception (RP)"
"none dx","DENV_RISK","text","Risk Perception (RP)"
"no","VAX_DENV_RECOMMENDED","text","Risk Indicator (RI)"
"unk","VAX_DENV_RECOMMENDED","text","Risk Indicator (RI)"
"yes","VAX_DENV_RECOMMENDED","text","Risk Indicator (RI)"
"nr","VAX_DENV_RECOMMENDED","text","Risk Indicator (RI)"
"no","VAX_DENV_CHILDREN","text","Preventive Behaviors (PB)"
"yes","VAX_DENV_CHILDREN","text","Preventive Behaviors (PB)"
"nr","VAX_DENV_CHILDREN","text","Preventive Behaviors (PB)"
"unk","VAX_DENV_WOULD_VAX","text","Preventive Behaviors (PB)"
"yes","VAX_DENV_WOULD_VAX","text","Preventive Behaviors (PB)"
"nr","VAX_DENV_WOULD_VAX","text","Preventive Behaviors (PB)"
"no","VAX_DENV_WOULD_VAX","text","Preventive Behaviors (PB)"
"yes","WORRY_COVID19","text","Risk Perception (RP)"
"no","WORRY_COVID19","text","Risk Perception (RP)"
"unk","WORRY_COVID19","text","Risk Perception (RP)"
"nr","WORRY_COVID19","text","Risk Perception (RP)"
"low","COVID19_RISK","text","Risk Perception (RP)"
"high","COVID19_RISK","text","Risk Perception (RP)"
"none","COVID19_RISK","text","Risk Perception (RP)"
"nr","COVID19_RISK","text","Risk Perception (RP)"
"low","COVID19_RISK_CHILDREN","text","Risk Perception (RP)"
"high","COVID19_RISK_CHILDREN","text","Risk Perception (RP)"
"none","COVID19_RISK_CHILDREN","text","Risk Perception (RP)"
"none vax","COVID19_RISK_CHILDREN","text","Risk Perception (RP)"
"nr","COVID19_RISK_CHILDREN","text","Risk Perception (RP)"
"none dx","COVID19_RISK_CHILDREN","text","Risk Perception (RP)"
"never","PHQ1","text","Clinical History (CH)"
"sometimes","PHQ1","text","Clinical History (CH)"
"most days","PHQ1","text","Clinical History (CH)"
"nr","PHQ1","text","Clinical History (CH)"
"more than half","PHQ1","text","Clinical History (CH)"
"never","PHQ2","text","Clinical History (CH)"
"sometimes","PHQ2","text","Clinical History (CH)"
"most days","PHQ2","text","Clinical History (CH)"
"more than half","PHQ2","text","Clinical History (CH)"
"nr","PHQ2","text","Clinical History (CH)"
"never","GAD1","text","Clinical History (CH)"
"sometimes","GAD1","text","Clinical History (CH)"
"most days","GAD1","text","Clinical History (CH)"
"more than half","GAD1","text","Clinical History (CH)"
"nr","GAD1","text","Clinical History (CH)"
"never","GAD2","text","Clinical History (CH)"
"sometimes","GAD2","text","Clinical History (CH)"
"nr","GAD2","text","Clinical History (CH)"
"most days","GAD2","text","Clinical History (CH)"
"more than half","GAD2","text","Clinical History (CH)"
"yes","HM1_PRESENT","text","Disparity Indicators (DI)"
"no","HM1_PRESENT","text","Disparity Indicators (DI)"
"yes","HM1_PARTICIPATE","text","Disparity Indicators (DI)"
"not eligible","HM1_PARTICIPATE","text","Disparity Indicators (DI)"
"no","HM1_PARTICIPATE","text","Disparity Indicators (DI)"
"nr","HM1_PARTICIPATE","text","Disparity Indicators (DI)"
"female","HM1_SEX","text","Disparity Indicators (DI)"
"male","HM1_SEX","text","Disparity Indicators (DI)"
"other","HM1_SEX","text","Disparity Indicators (DI)"
"yes","HM2_PRESENT","text","Disparity Indicators (DI)"
"no","HM2_PRESENT","text","Disparity Indicators (DI)"
"no","HM2_PARTICIPATE","text","Disparity Indicators (DI)"
"yes","HM2_PARTICIPATE","text","Disparity Indicators (DI)"
"not eligible","HM2_PARTICIPATE","text","Disparity Indicators (DI)"
"unk","HM2_PARTICIPATE","text","Disparity Indicators (DI)"
"male","HM2_SEX","text","Disparity Indicators (DI)"
"female","HM2_SEX","text","Disparity Indicators (DI)"
"yes","HM3_PRESENT","text","Disparity Indicators (DI)"
"no","HM3_PRESENT","text","Disparity Indicators (DI)"
"yes","HM3_PARTICIPATE","text","Disparity Indicators (DI)"
"no","HM3_PARTICIPATE","text","Disparity Indicators (DI)"
"not eligible","HM3_PARTICIPATE","text","Disparity Indicators (DI)"
"unk","HM3_PARTICIPATE","text","Disparity Indicators (DI)"
"nr","HM3_PARTICIPATE","text","Disparity Indicators (DI)"
"male","HM3_SEX","text","Disparity Indicators (DI)"
"female","HM3_SEX","text","Disparity Indicators (DI)"
"nr","HM3_SEX","text","Disparity Indicators (DI)"
"yes","HM4_PRESENT","text","Disparity Indicators (DI)"
"no","HM4_PRESENT","text","Disparity Indicators (DI)"
"no","HM4_PARTICIPATE","text","Disparity Indicators (DI)"
"not eligible","HM4_PARTICIPATE","text","Disparity Indicators (DI)"
"yes","HM4_PARTICIPATE","text","Disparity Indicators (DI)"
"unk","HM4_PARTICIPATE","text","Disparity Indicators (DI)"
"nr","HM4_PARTICIPATE","text","Disparity Indicators (DI)"
"male","HM4_SEX","text","Disparity Indicators (DI)"
"female","HM4_SEX","text","Disparity Indicators (DI)"
"yes","HM5_PRESENT","text","Disparity Indicators (DI)"
"no","HM5_PRESENT","text","Disparity Indicators (DI)"
"no","HM5_PARTICIPATE","text","Disparity Indicators (DI)"
"yes","HM5_PARTICIPATE","text","Disparity Indicators (DI)"
"not eligible","HM5_PARTICIPATE","text","Disparity Indicators (DI)"
"female","HM5_SEX","text","Disparity Indicators (DI)"
"male","HM5_SEX","text","Disparity Indicators (DI)"
"yes","HM6_PRESENT","text","Disparity Indicators (DI)"
"no","HM6_PRESENT","text","Disparity Indicators (DI)"
"no","HM6_PARTICIPATE","text","Disparity Indicators (DI)"
"yes","HM6_PARTICIPATE","text","Disparity Indicators (DI)"
"not eligible","HM6_PARTICIPATE","text","Disparity Indicators (DI)"
"female","HM6_SEX","text","Disparity Indicators (DI)"
"male","HM6_SEX","text","Disparity Indicators (DI)"
"yes","HM7_PRESENT","text","Disparity Indicators (DI)"
"no","HM7_PRESENT","text","Disparity Indicators (DI)"
"no","HM7_PARTICIPATE","text","Disparity Indicators (DI)"
"not eligible","HM7_PARTICIPATE","text","Disparity Indicators (DI)"
"female","HM7_SEX","text","Disparity Indicators (DI)"
"male","HM7_SEX","text","Disparity Indicators (DI)"
"no","HM8_PRESENT","text","Disparity Indicators (DI)"
"yes","HM8_PRESENT","text","Disparity Indicators (DI)"
"no","HM8_PARTICIPATE","text","Disparity Indicators (DI)"
"not eligible","HM8_PARTICIPATE","text","Disparity Indicators (DI)"
"male","HM8_SEX","text","Disparity Indicators (DI)"
"female","HM8_SEX","text","Disparity Indicators (DI)"
"yes","HM9_PRESENT","text","Disparity Indicators (DI)"
"no","HM9_PARTICIPATE","text","Disparity Indicators (DI)"
"not eligible","HM9_PARTICIPATE","text","Disparity Indicators (DI)"
"nr","HM9_SEX","text","Disparity Indicators (DI)"
"male","HM9_SEX","text","Disparity Indicators (DI)"
"owner","RENT_OWN","text","Disparity Indicators (DI)"
"relatives home","RENT_OWN","text","Disparity Indicators (DI)"
"public housing","RENT_OWN","text","Disparity Indicators (DI)"
"renter","RENT_OWN","text","Disparity Indicators (DI)"
"other","RENT_OWN","text","Disparity Indicators (DI)"
"nr","RENT_OWN","text","Disparity Indicators (DI)"
"federal","RENT_OWN_OTH","free text field","Disparity Indicators (DI)"
"casa pastorial","RENT_OWN_OTH","free text field","Disparity Indicators (DI)"
"herencia familiar","RENT_OWN_OTH","free text field","Disparity Indicators (DI)"
"no","RATS","text","Risk Indicator (RI)"
"yes","RATS","text","Risk Indicator (RI)"
"unk","RATS","text","Risk Indicator (RI)"
"nr","RATS","text","Risk Indicator (RI)"
"no","CISTERN","text","Risk Indicator (RI)"
"yes","CISTERN","text","Risk Indicator (RI)"
"unk","CISTERN","text","Risk Indicator (RI)"
"nr","CISTERN","text","Risk Indicator (RI)"
"yes","SEPTIC","text","Risk Indicator (RI)"
"no","SEPTIC","text","Risk Indicator (RI)"
"unk","SEPTIC","text","Risk Indicator (RI)"
"nr","SEPTIC","text","Risk Indicator (RI)"
"none","SCREENS_WINDOWS","text","Preventive Behaviors (PB)"
"all","SCREENS_WINDOWS","text","Preventive Behaviors (PB)"
"some","SCREENS_WINDOWS","text","Preventive Behaviors (PB)"
"nr","SCREENS_WINDOWS","text","Preventive Behaviors (PB)"
"all that open","SCREENS_WINDOWS","text","Preventive Behaviors (PB)"
"some","SCREENS_DOORS","text","Preventive Behaviors (PB)"
"all","SCREENS_DOORS","text","Preventive Behaviors (PB)"
"none","SCREENS_DOORS","text","Preventive Behaviors (PB)"
"all that open","SCREENS_DOORS","text","Preventive Behaviors (PB)"
"nr","SCREENS_DOORS","text","Preventive Behaviors (PB)"
"no","AC","text","Preventive Behaviors (PB)"
"yes","AC","text","Preventive Behaviors (PB)"
"nr","AC","text","Preventive Behaviors (PB)"
"prefer month","INCOME_OTHER","text","Disparity Indicators (DI)"
"nr","INCOME_OTHER","text","Disparity Indicators (DI)"
"never","EXTERMINATOR_12MO","text","Preventive Behaviors (PB)"
"3 times","EXTERMINATOR_12MO","text","Preventive Behaviors (PB)"
"1 time","EXTERMINATOR_12MO","text","Preventive Behaviors (PB)"
"2 times","EXTERMINATOR_12MO","text","Preventive Behaviors (PB)"
"4 or more times","EXTERMINATOR_12MO","text","Preventive Behaviors (PB)"
"nr","EXTERMINATOR_12MO","text","Preventive Behaviors (PB)"
"unk","EXTERMINATOR_12MO","text","Preventive Behaviors (PB)"
"repelente","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"trampa de cucaracha","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"trampas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"velas de citronella","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"raquetas cobras","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"yerbizida","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"espirales","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"repelente para la piel","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"repellents para la piel","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"velas de cintonella","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"pega para ratones","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"pegas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cobras y pegas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"raqueta electrica","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"trampas para cucarachas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"trapas de pega ","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cobra","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"vela de citronella","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"velas de citronela","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"polvo","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"off","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"pega","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"pega de ratones","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"real kill","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"repelente para piel y espirales","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"vela de citronela","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"velas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"insecticida liquido","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cobra repelente para la piel","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"raqueta","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"citronella","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cobras lamparas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"bombas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"polvo para hormiga","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"raqueta de mosquitos","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"aerosoles sevin","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"raquetalampara","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cobra citronela liquido","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"trampasgranulos","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"velas citronela","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"repelente y velas citronela","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cobras","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"ortho","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cobra lamparas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"granulos","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"inyecciones","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"granulado para moscas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"citronelle pega para ratones","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"lamparas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cobra raqueta","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"raquetas pegas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"matador de moscas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"veneno para cucarachas en esferas pequenas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"trampa","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"polvos","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"polvo para controlar la entrada de insectos","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"repelente para piel","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"participante no responde","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"aereosol","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"trampa de ratones","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"trampa para hormigas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"repelente  nim","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"diaciclon","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"pega de mosca","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"citronella cobra","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"inyeccion para cucarachas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"citronela","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"raquetas lamparas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"tizas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cobra off","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"veneno en polvo","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"pegasus de mosca","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"trampas de pega","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"off repelenta para la piel","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"polvos ","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cajas para ratones","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"veneno para moscas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"bombas inyeccion","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"plugin","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cobra pegasus para moscas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"veneno para ratones","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"raquetas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"baits","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"liquido permitrin","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"off cobra","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"liquido","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"real kill off","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"bombas para cucarachas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cobra repelente para la piel granulado para moscas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"barrasveneno de ratones","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"raqueta para mosquitos","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"raqueta aerosol","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"other defense","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"vela de citronella repelente","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cobra  repelente ","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"raqueta pega granulado","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"velas de citronell","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"trampas para moscas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"granulados para mosca","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"inyecciones ","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"600","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"repelente20","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"vela para mosquito","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"orto","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"pellets","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"cintronella","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"raid","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"granulados","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"pega para moscas y trampas para moscas","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"aerosol","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
"repelentes ","OTHER_INSECTICIDE_SPEC","free text field","Preventive Behaviors (PB)"
