"Entity","Label","Type","Class"
"feoale","SEX","text","Disparity Indicators (DI)"
"femalx","SEX","text","Disparity Indicators (DI)"
"femole","SEX","text","Disparity Indicators (DI)"
"vemale","SEX","text","Disparity Indicators (DI)"
"mame","SEX","text","Disparity Indicators (DI)"
"fefale","SEX","text","Disparity Indicators (DI)"
"fomale","SEX","text","Disparity Indicators (DI)"
"femyle","SEX","text","Disparity Indicators (DI)"
"mule","SEX","text","Disparity Indicators (DI)"
"malg","SEX","text","Disparity Indicators (DI)"
"gale","SEX","text","Disparity Indicators (DI)"
"malc","SEX","text","Disparity Indicators (DI)"
"cemale","SEX","text","Disparity Indicators (DI)"
"maie","SEX","text","Disparity Indicators (DI)"
"femzle","SEX","text","Disparity Indicators (DI)"
"mahe","SEX","text","Disparity Indicators (DI)"
"mxle","SEX","text","Disparity Indicators (DI)"
"feyale","SEX","text","Disparity Indicators (DI)"
"mcle","SEX","text","Disparity Indicators (DI)"
"jemale","SEX","text","Disparity Indicators (DI)"
"aale","SEX","text","Disparity Indicators (DI)"
"iemale","SEX","text","Disparity Indicators (DI)"
"bale","SEX","text","Disparity Indicators (DI)"
"mele","SEX","text","Disparity Indicators (DI)"
"oale","SEX","text","Disparity Indicators (DI)"
"maee","SEX","text","Disparity Indicators (DI)"
"femaxe","SEX","text","Disparity Indicators (DI)"
"memale","SEX","text","Disparity Indicators (DI)"
"mall","SEX","text","Disparity Indicators (DI)"
"femalp","SEX","text","Disparity Indicators (DI)"
"malj","SEX","text","Disparity Indicators (DI)"
"mace","SEX","text","Disparity Indicators (DI)"
"mqle","SEX","text","Disparity Indicators (DI)"
"nale","SEX","text","Disparity Indicators (DI)"
"fxmale","SEX","text","Disparity Indicators (DI)"
"malx","SEX","text","Disparity Indicators (DI)"
"femmle","SEX","text","Disparity Indicators (DI)"
"femaee","SEX","text","Disparity Indicators (DI)"
"rale","SEX","text","Disparity Indicators (DI)"
"femvle","SEX","text","Disparity Indicators (DI)"
"eale","SEX","text","Disparity Indicators (DI)"
"malw","SEX","text","Disparity Indicators (DI)"
"fenale","SEX","text","Disparity Indicators (DI)"
"femade","SEX","text","Disparity Indicators (DI)"
"malz","SEX","text","Disparity Indicators (DI)"
"feqale","SEX","text","Disparity Indicators (DI)"
"femals","SEX","text","Disparity Indicators (DI)"
"maxe","SEX","text","Disparity Indicators (DI)"
"dale","SEX","text","Disparity Indicators (DI)"
"femawe","SEX","text","Disparity Indicators (DI)"
"mlle","SEX","text","Disparity Indicators (DI)"
"mole","SEX","text","Disparity Indicators (DI)"
"mmle","SEX","text","Disparity Indicators (DI)"
"fale","SEX","text","Disparity Indicators (DI)"
"tale","SEX","text","Disparity Indicators (DI)"
"oemale","SEX","text","Disparity Indicators (DI)"
"fgmale","SEX","text","Disparity Indicators (DI)"
"yale","SEX","text","Disparity Indicators (DI)"
"fepale","SEX","text","Disparity Indicators (DI)"
"mabe","SEX","text","Disparity Indicators (DI)"
"femafe","SEX","text","Disparity Indicators (DI)"
"malm","SEX","text","Disparity Indicators (DI)"
"mwle","SEX","text","Disparity Indicators (DI)"
"lale","SEX","text","Disparity Indicators (DI)"
"yes","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"y","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"no","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"n","HISPANIC_LATINO","text","Disparity Indicators (DI)"
"completed grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to h1","EDUCATION","text","Disparity Indicators (DI)"
"grades 6 to 8","EDUCATION","text","Disparity Indicators (DI)"
"bach degree","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc degree","EDUCATION","text","Disparity Indicators (DI)"
"grades 1 to 5","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc vegree","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to 11","EDUCATION","text","Disparity Indicators (DI)"
"grades r to 8","EDUCATION","text","Disparity Indicators (DI)"
"spec ed","EDUCATION","text","Disparity Indicators (DI)"
"post grad study","EDUCATION","text","Disparity Indicators (DI)"
"b degree","EDUCATION","text","Disparity Indicators (DI)"
"post g study","EDUCATION","text","Disparity Indicators (DI)"
"cogpleted grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"lompleted grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"p grad study","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 12 g","EDUCATION","text","Disparity Indicators (DI)"
"completem grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"no school","EDUCATION","text","Disparity Indicators (DI)"
"bach degbee","EDUCATION","text","Disparity Indicators (DI)"
"prof degree","EDUCATION","text","Disparity Indicators (DI)"
"gradeh 6 to 8","EDUCATION","text","Disparity Indicators (DI)"
"bach megree","EDUCATION","text","Disparity Indicators (DI)"
"tech ossoc degree","EDUCATION","text","Disparity Indicators (DI)"
"completed graue 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"gradgs 6 to 8","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc dvgree","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 1i ged","EDUCATION","text","Disparity Indicators (DI)"
"bach degrje","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 1p ged","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc legree","EDUCATION","text","Disparity Indicators (DI)"
"bach degrye","EDUCATION","text","Disparity Indicators (DI)"
"gsades 9 to 11","EDUCATION","text","Disparity Indicators (DI)"
"gradeu 6 to 8","EDUCATION","text","Disparity Indicators (DI)"
"completed grahe 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"bach dfgree","EDUCATION","text","Disparity Indicators (DI)"
"gradls 1 to 5","EDUCATION","text","Disparity Indicators (DI)"
"zr","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc degrve","EDUCATION","text","Disparity Indicators (DI)"
"tech ahsoc degree","EDUCATION","text","Disparity Indicators (DI)"
"n school","EDUCATION","text","Disparity Indicators (DI)"
"grades u to 8","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc detree","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 1l ged","EDUCATION","text","Disparity Indicators (DI)"
"grades m to 5","EDUCATION","text","Disparity Indicators (DI)"
"bach dygree","EDUCATION","text","Disparity Indicators (DI)"
"completed grude 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"nr","EDUCATION","text","Disparity Indicators (DI)"
"grades w to 11","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc degsee","EDUCATION","text","Disparity Indicators (DI)"
"completed gvade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"tech asskc degree","EDUCATION","text","Disparity Indicators (DI)"
"gradns 9 to 11","EDUCATION","text","Disparity Indicators (DI)"
"completed gsade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"completed gaade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"grades h to 11","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc degrer","EDUCATION","text","Disparity Indicators (DI)"
"clmpleted grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"grades w to 5","EDUCATION","text","Disparity Indicators (DI)"
"completed gcade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"grrdes 9 to 11","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc degrne","EDUCATION","text","Disparity Indicators (DI)"
"t assoc degree","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc desree","EDUCATION","text","Disparity Indicators (DI)"
"bach dxgree","EDUCATION","text","Disparity Indicators (DI)"
"grades 6 t 8","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to 1o","EDUCATION","text","Disparity Indicators (DI)"
"bach degfee","EDUCATION","text","Disparity Indicators (DI)"
"prof degreb","EDUCATION","text","Disparity Indicators (DI)"
"grates 6 to 8","EDUCATION","text","Disparity Indicators (DI)"
"post grad dtudy","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to 1j","EDUCATION","text","Disparity Indicators (DI)"
"bach degrhe","EDUCATION","text","Disparity Indicators (DI)"
"grades 1 to a","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc kegree","EDUCATION","text","Disparity Indicators (DI)"
"bach dvgree","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to q1","EDUCATION","text","Disparity Indicators (DI)"
"grudes 1 to 5","EDUCATION","text","Disparity Indicators (DI)"
"complbted grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"grsdes 9 to 11","EDUCATION","text","Disparity Indicators (DI)"
"grades 1 to h","EDUCATION","text","Disparity Indicators (DI)"
"completed trade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc degnee","EDUCATION","text","Disparity Indicators (DI)"
"completed gradb 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"comyleted grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"grades 6 to c","EDUCATION","text","Disparity Indicators (DI)"
"tech asyoc degree","EDUCATION","text","Disparity Indicators (DI)"
"tech aysoc degree","EDUCATION","text","Disparity Indicators (DI)"
"bach defree","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to o1","EDUCATION","text","Disparity Indicators (DI)"
"compleaed grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"bach degrei","EDUCATION","text","Disparity Indicators (DI)"
"completfd grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"bach degcee","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to v1","EDUCATION","text","Disparity Indicators (DI)"
"gradus 1 to 5","EDUCATION","text","Disparity Indicators (DI)"
"no s","EDUCATION","text","Disparity Indicators (DI)"
"completed gride 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"compljted grade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 t 11","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc degref","EDUCATION","text","Disparity Indicators (DI)"
"s ed","EDUCATION","text","Disparity Indicators (DI)"
"grades d to 11","EDUCATION","text","Disparity Indicators (DI)"
"bach degrel","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc degreq","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 1x ged","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc degeee","EDUCATION","text","Disparity Indicators (DI)"
"gradew 1 to 5","EDUCATION","text","Disparity Indicators (DI)"
"completed grale 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"completed frade 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"completed grade z2 ged","EDUCATION","text","Disparity Indicators (DI)"
"bach degrem","EDUCATION","text","Disparity Indicators (DI)"
"completed grade 1d ged","EDUCATION","text","Disparity Indicators (DI)"
"grades 9 to s1","EDUCATION","text","Disparity Indicators (DI)"
"completed grade o2 ged","EDUCATION","text","Disparity Indicators (DI)"
"completed gradz 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"tech tssoc degree","EDUCATION","text","Disparity Indicators (DI)"
"bach degeee","EDUCATION","text","Disparity Indicators (DI)"
"completed gradk 12 ged","EDUCATION","text","Disparity Indicators (DI)"
"tech assoc zegree","EDUCATION","text","Disparity Indicators (DI)"
"bach degsee","EDUCATION","text","Disparity Indicators (DI)"
"bach degrqe","EDUCATION","text","Disparity Indicators (DI)"
"homemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"etudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"studying","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"informal work","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed pt","EMPLOYMENT","text","Disparity Indicators (DI)"
"self emp","EMPLOYMENT","text","Disparity Indicators (DI)"
"health cond disability","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyine","EMPLOYMENT","text","Disparity Indicators (DI)"
"studying working","EMPLOYMENT","text","Disparity Indicators (DI)"
"emfloyed pt","EMPLOYMENT","text","Disparity Indicators (DI)"
"h cond disability","EMPLOYMENT","text","Disparity Indicators (DI)"
"unempqoyed","EMPLOYMENT","text","Disparity Indicators (DI)"
"retired","EMPLOYMENT","text","Disparity Indicators (DI)"
"other","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fx","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed at","EMPLOYMENT","text","Disparity Indicators (DI)"
"self e","EMPLOYMENT","text","Disparity Indicators (DI)"
"studydng","EMPLOYMENT","text","Disparity Indicators (DI)"
"sturying","EMPLOYMENT","text","Disparity Indicators (DI)"
"employep ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"studling","EMPLOYMENT","text","Disparity Indicators (DI)"
"studning","EMPLOYMENT","text","Disparity Indicators (DI)"
"homvmaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyzng","EMPLOYMENT","text","Disparity Indicators (DI)"
"hxmemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemployeh","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemploycd","EMPLOYMENT","text","Disparity Indicators (DI)"
"stddying","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyinc","EMPLOYMENT","text","Disparity Indicators (DI)"
"studming working","EMPLOYMENT","text","Disparity Indicators (DI)"
"uvemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"wnemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"rettred","EMPLOYMENT","text","Disparity Indicators (DI)"
"stodying","EMPLOYMENT","text","Disparity Indicators (DI)"
"s emp","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fb","EMPLOYMENT","text","Disparity Indicators (DI)"
"refired","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fp","EMPLOYMENT","text","Disparity Indicators (DI)"
"stuvying","EMPLOYMENT","text","Disparity Indicators (DI)"
"nr","EMPLOYMENT","text","Disparity Indicators (DI)"
"sbudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"ytudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"honemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"lomemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"howemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"stupying","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fr","EMPLOYMENT","text","Disparity Indicators (DI)"
"studving","EMPLOYMENT","text","Disparity Indicators (DI)"
"emplnyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"studymng","EMPLOYMENT","text","Disparity Indicators (DI)"
"qtudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed ct","EMPLOYMENT","text","Disparity Indicators (DI)"
"employyd pt","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemjker","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed it","EMPLOYMENT","text","Disparity Indicators (DI)"
"unempooyed","EMPLOYMENT","text","Disparity Indicators (DI)"
"homeraker","EMPLOYMENT","text","Disparity Indicators (DI)"
"unqmployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed gt","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemploynd","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed dt","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fd","EMPLOYMENT","text","Disparity Indicators (DI)"
"emjloyed pt","EMPLOYMENT","text","Disparity Indicators (DI)"
"hombmaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"fmployed pt","EMPLOYMENT","text","Disparity Indicators (DI)"
"stujying","EMPLOYMENT","text","Disparity Indicators (DI)"
"homwmaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fm","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemploied","EMPLOYMENT","text","Disparity Indicators (DI)"
"hhmemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyyng","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed et","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemployxd","EMPLOYMENT","text","Disparity Indicators (DI)"
"emiloyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed ht","EMPLOYMENT","text","Disparity Indicators (DI)"
"employkd ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"hmployed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fy","EMPLOYMENT","text","Disparity Indicators (DI)"
"stmdying","EMPLOYMENT","text","Disparity Indicators (DI)"
"bomemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed bt","EMPLOYMENT","text","Disparity Indicators (DI)"
"employev ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemlker","EMPLOYMENT","text","Disparity Indicators (DI)"
"smployed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"unempljyed","EMPLOYMENT","text","Disparity Indicators (DI)"
"hozemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"empeoyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemployeb","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyqng","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed nt","EMPLOYMENT","text","Disparity Indicators (DI)"
"stndying","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemiloyed","EMPLOYMENT","text","Disparity Indicators (DI)"
"emplobed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyitg","EMPLOYMENT","text","Disparity Indicators (DI)"
"otudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"studking","EMPLOYMENT","text","Disparity Indicators (DI)"
"humemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemhker","EMPLOYMENT","text","Disparity Indicators (DI)"
"reqired","EMPLOYMENT","text","Disparity Indicators (DI)"
"jnformal work","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fi","EMPLOYMENT","text","Disparity Indicators (DI)"
"sdudying working","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed yt","EMPLOYMENT","text","Disparity Indicators (DI)"
"zomemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemacer","EMPLOYMENT","text","Disparity Indicators (DI)"
"studycng","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemplored","EMPLOYMENT","text","Disparity Indicators (DI)"
"unimployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"ztudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"stueying","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed kt","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyink","EMPLOYMENT","text","Disparity Indicators (DI)"
"ltudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"employud ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"studying worklng","EMPLOYMENT","text","Disparity Indicators (DI)"
"hqmemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"hlmemaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"ynemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"ktudying","EMPLOYMENT","text","Disparity Indicators (DI)"
"homfmaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"emplvyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"informal w","EMPLOYMENT","text","Disparity Indicators (DI)"
"jetired","EMPLOYMENT","text","Disparity Indicators (DI)"
"studeing","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemakeq","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed fn","EMPLOYMENT","text","Disparity Indicators (DI)"
"employeq ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"zmployed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"employbd ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed pw","EMPLOYMENT","text","Disparity Indicators (DI)"
"studyins","EMPLOYMENT","text","Disparity Indicators (DI)"
"emppoyed ft","EMPLOYMENT","text","Disparity Indicators (DI)"
"ubemployed","EMPLOYMENT","text","Disparity Indicators (DI)"
"homdmaker","EMPLOYMENT","text","Disparity Indicators (DI)"
"unemployew","EMPLOYMENT","text","Disparity Indicators (DI)"
"inforwal work","EMPLOYMENT","text","Disparity Indicators (DI)"
"health c disability","EMPLOYMENT","text","Disparity Indicators (DI)"
"employed lt","EMPLOYMENT","text","Disparity Indicators (DI)"
"homemakjr","EMPLOYMENT","text","Disparity Indicators (DI)"
"inside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"outside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"both","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"b","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"imside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"xnside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"outcide","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"tnside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"snside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"intide","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insidd","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"dnside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"outsige","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"inqide","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"rnside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insise","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insfde","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insidj","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"outiide","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insrde","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"ibside","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"outsice","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insidn","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insiwe","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insidt","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"insike","EMPLOYMENT_LOCATION","text","Risk Indicator (RI)"
"none","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"all","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"a","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"noye","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"noue","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nhne","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"some","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nr","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"all that open","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"unk","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"zone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"uone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"aone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"pone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"noke","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nons","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"mone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"a that open","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nlne","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"njne","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nkne","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"eone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nofe","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nonb","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nore","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nowe","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"gone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"lone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"noce","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"wome","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"node","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"jone","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nooe","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nbne","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"nome","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"u","EMPLOYMENT_INSIDE_SCREEN","text","Risk Indicator (RI)"
"always","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
"never","EMPLOYMENT_INSIDE_AC","text","Risk Indicator (RI)"
