"Label","Entity","Type","Class"
"COVID_POSITIVE","yes","text","Clinical History (CH)"
"COVID_POSITIVE","no","text","Clinical History (CH)"
"COVID_POSITIVE","unk","text","Clinical History (CH)"
"HISPANIC_LATINO","yes","text","Disparity Indicators (DI)"
"HISPANIC_LATINO","no","text","Disparity Indicators (DI)"
"HISPANIC_LATINO","unk","text","Disparity Indicators (DI)"
"INSURANCE","yes","text","Disparity Indicators (DI)"
"INSURANCE","no","text","Disparity Indicators (DI)"
"INSURANCE","unk","text","Disparity Indicators (DI)"
"EDUCATION","grades 6 to 8","text","Disparity Indicators (DI)"
"EDUCATION","spec ed","text","Disparity Indicators (DI)"
"EDUCATION","completed grade 12 ged","text","Disparity Indicators (DI)"
"EDUCATION","bach degree","text","Disparity Indicators (DI)"
"EDUCATION","grades 1 to 5","text","Disparity Indicators (DI)"
"EDUCATION","tech assoc degree","text","Disparity Indicators (DI)"
"EDUCATION","grades 9 to 11","text","Disparity Indicators (DI)"
"EDUCATION","prof degree","text","Disparity Indicators (DI)"
"EDUCATION","post grad study","text","Disparity Indicators (DI)"
"EDUCATION","no school","text","Disparity Indicators (DI)"
"EMPLOYMENT","studying working","text","Disparity Indicators (DI)"
"EMPLOYMENT","studying","text","Disparity Indicators (DI)"
"EMPLOYMENT","unemployed","text","Disparity Indicators (DI)"
"EMPLOYMENT","employed pt","text","Disparity Indicators (DI)"
"EMPLOYMENT","informal work","text","Disparity Indicators (DI)"
"EMPLOYMENT","homemaker","text","Disparity Indicators (DI)"
"EMPLOYMENT","health cond disability","text","Disparity Indicators (DI)"
"EMPLOYMENT","retired","text","Disparity Indicators (DI)"
"EMPLOYMENT","self emp","text","Disparity Indicators (DI)"
"EMPLOYMENT","employed ft","text","Disparity Indicators (DI)"
"EMPLOYMENT","other","text","Disparity Indicators (DI)"
"PREGNANT","yes","text","Disparity Indicators (DI)"
"PREGNANT","no","text","Disparity Indicators (DI)"
"PREGNANT","unk","text","Disparity Indicators (DI)"
"CHILD_UNDER18","yes","text","Disparity Indicators (DI)"
"CHILD_UNDER18","no","text","Disparity Indicators (DI)"
"RENT_OWN","relatives home","text","Disparity Indicators (DI)"
"RENT_OWN","owner","text","Disparity Indicators (DI)"
"RENT_OWN","renter","text","Disparity Indicators (DI)"
"RENT_OWN","public housing","text","Disparity Indicators (DI)"
"RENT_OWN","other","text","Disparity Indicators (DI)"
"INCOME_OTHER","prefer month","text","Disparity Indicators (DI)"
"SEX","female","text","Disparity Indicators (DI)"
"SEX","male","text","Disparity Indicators (DI)"
"AGE_GROUP","1 to 4","text","Disparity Indicators (DI)"
"AGE_GROUP","5 to 9","text","Disparity Indicators (DI)"
"AGE_GROUP","10 to 14","text","Disparity Indicators (DI)"
"AGE_GROUP","15 to 19","text","Disparity Indicators (DI)"
"AGE_GROUP","20 to 24","text","Disparity Indicators (DI)"
"AGE_GROUP","25 to 29","text","Disparity Indicators (DI)"
"AGE_GROUP","30 to 34","text","Disparity Indicators (DI)"
"AGE_GROUP","35 to 39","text","Disparity Indicators (DI)"
"AGE_GROUP","40 to 44","text","Disparity Indicators (DI)"
"AGE_GROUP","45 to 49","text","Disparity Indicators (DI)"
"AGE_GROUP","50","text","Disparity Indicators (DI)"
"HM8_PRESENT","yes","text","Disparity Indicators (DI)"
"HM8_PRESENT","no","text","Disparity Indicators (DI)"
"HM8_PARTICIPATE","yes","text","Disparity Indicators (DI)"
"HM8_PARTICIPATE","no","text","Disparity Indicators (DI)"
"HM8_PARTICIPATE","not eligible","text","Disparity Indicators (DI)"
"HM8_PARTICIPATE","unk","text","Disparity Indicators (DI)"
"HM8_SEX","male","text","Disparity Indicators (DI)"
"HM8_SEX","female","text","Disparity Indicators (DI)"
"HM7_PRESENT","yes","text","Disparity Indicators (DI)"
"HM7_PRESENT","no","text","Disparity Indicators (DI)"
"HM7_PARTICIPATE","yes","text","Disparity Indicators (DI)"
"HM7_PARTICIPATE","no","text","Disparity Indicators (DI)"
"HM7_PARTICIPATE","not eligible","text","Disparity Indicators (DI)"
"HM7_PARTICIPATE","unk","text","Disparity Indicators (DI)"
"HM7_SEX","male","text","Disparity Indicators (DI)"
"HM7_SEX","female","text","Disparity Indicators (DI)"
"HM6_PRESENT","yes","text","Disparity Indicators (DI)"
"HM6_PRESENT","no","text","Disparity Indicators (DI)"
"HM6_PARTICIPATE","yes","text","Disparity Indicators (DI)"
"HM6_PARTICIPATE","no","text","Disparity Indicators (DI)"
"HM6_PARTICIPATE","not eligible","text","Disparity Indicators (DI)"
"HM6_PARTICIPATE","unk","text","Disparity Indicators (DI)"
"HM6_SEX","male","text","Disparity Indicators (DI)"
"HM6_SEX","female","text","Disparity Indicators (DI)"
"HM5_PRESENT","yes","text","Disparity Indicators (DI)"
"HM5_PRESENT","no","text","Disparity Indicators (DI)"
"HM5_PARTICIPATE","yes","text","Disparity Indicators (DI)"
"HM5_PARTICIPATE","no","text","Disparity Indicators (DI)"
"HM5_PARTICIPATE","not eligible","text","Disparity Indicators (DI)"
"HM5_PARTICIPATE","unk","text","Disparity Indicators (DI)"
"HM5_SEX","male","text","Disparity Indicators (DI)"
"HM5_SEX","female","text","Disparity Indicators (DI)"
"HM4_PRESENT","yes","text","Disparity Indicators (DI)"
"HM4_PRESENT","no","text","Disparity Indicators (DI)"
"HM4_PARTICIPATE","yes","text","Disparity Indicators (DI)"
"HM4_PARTICIPATE","no","text","Disparity Indicators (DI)"
"HM4_PARTICIPATE","not eligible","text","Disparity Indicators (DI)"
"HM4_PARTICIPATE","unk","text","Disparity Indicators (DI)"
"HM4_SEX","male","text","Disparity Indicators (DI)"
"HM4_SEX","female","text","Disparity Indicators (DI)"
"HM3_PRESENT","yes","text","Disparity Indicators (DI)"
"HM3_PRESENT","no","text","Disparity Indicators (DI)"
"HM3_PARTICIPATE","yes","text","Disparity Indicators (DI)"
"HM3_PARTICIPATE","no","text","Disparity Indicators (DI)"
"HM3_PARTICIPATE","not eligible","text","Disparity Indicators (DI)"
"HM3_PARTICIPATE","unk","text","Disparity Indicators (DI)"
"HM3_SEX","male","text","Disparity Indicators (DI)"
"HM3_SEX","female","text","Disparity Indicators (DI)"
"HM2_PRESENT","yes","text","Disparity Indicators (DI)"
"HM2_PRESENT","no","text","Disparity Indicators (DI)"
"HM2_PARTICIPATE","yes","text","Disparity Indicators (DI)"
"HM2_PARTICIPATE","no","text","Disparity Indicators (DI)"
"HM2_PARTICIPATE","not eligible","text","Disparity Indicators (DI)"
"HM2_PARTICIPATE","unk","text","Disparity Indicators (DI)"
"HM2_SEX","male","text","Disparity Indicators (DI)"
"HM2_SEX","female","text","Disparity Indicators (DI)"
"HM1_PRESENT","yes","text","Disparity Indicators (DI)"
"HM1_PRESENT","no","text","Disparity Indicators (DI)"
"HM1_PARTICIPATE","yes","text","Disparity Indicators (DI)"
"HM1_PARTICIPATE","no","text","Disparity Indicators (DI)"
"HM1_PARTICIPATE","not eligible","text","Disparity Indicators (DI)"
"HM1_PARTICIPATE","unk","text","Disparity Indicators (DI)"
"HM1_SEX","male","text","Disparity Indicators (DI)"
"HM1_SEX","female","text","Disparity Indicators (DI)"
"HM9_PRESENT","yes","text","Disparity Indicators (DI)"
"HM9_PRESENT","no","text","Disparity Indicators (DI)"
"HM9_PARTICIPATE","yes","text","Disparity Indicators (DI)"
"HM9_PARTICIPATE","no","text","Disparity Indicators (DI)"
"HM9_PARTICIPATE","unk","text","Disparity Indicators (DI)"
"HM9_SEX","male","text","Disparity Indicators (DI)"
"HM9_SEX","female","text","Disparity Indicators (DI)"
"VAX_FLU","yes","text","Preventive Behaviors (PB)"
"VAX_FLU","no","text","Preventive Behaviors (PB)"
"VAX_FLU","unk","text","Preventive Behaviors (PB)"
"COVID_VAX_DOSES","1 dose","text","Preventive Behaviors (PB)"
"COVID_VAX_DOSES","2 doses","text","Preventive Behaviors (PB)"
"COVID_VAX_DOSES","3 doses","text","Preventive Behaviors (PB)"
"COVID_VAX","yes","text","Preventive Behaviors (PB)"
"COVID_VAX","no","text","Preventive Behaviors (PB)"
"COVID_VAX_DOSES","4 doses","text","Preventive Behaviors (PB)"
"COVID_VAX_DOSES","unk","text","Preventive Behaviors (PB)"
"VAX_DENV_CHILDREN","yes","text","Preventive Behaviors (PB)"
"VAX_DENV_CHILDREN","no","text","Preventive Behaviors (PB)"
"VAX_DENV_CHILDREN","unk","text","Preventive Behaviors (PB)"
"VAX_DENV_FREE","yes","text","Preventive Behaviors (PB)"
"VAX_DENV_FREE","no","text","Preventive Behaviors (PB)"
"VAX_DENV_FREE","unk","text","Preventive Behaviors (PB)"
"VAX_DENV_WOULD_VAX","yes","text","Preventive Behaviors (PB)"
"VAX_DENV_WOULD_VAX","no","text","Preventive Behaviors (PB)"
"VAX_DENV_WOULD_VAX","unk","text","Preventive Behaviors (PB)"
"SCREENS_WINDOWS","all","text","Preventive Behaviors (PB)"
"SCREENS_WINDOWS","some","text","Preventive Behaviors (PB)"
"SCREENS_WINDOWS","all that open","text","Preventive Behaviors (PB)"
"SCREENS_WINDOWS","none","text","Preventive Behaviors (PB)"
"SCREENS_DOORS","all","text","Preventive Behaviors (PB)"
"SCREENS_DOORS","some","text","Preventive Behaviors (PB)"
"SCREENS_DOORS","all that open","text","Preventive Behaviors (PB)"
"SCREENS_DOORS","none","text","Preventive Behaviors (PB)"
"AC","yes","text","Preventive Behaviors (PB)"
"AC","no","text","Preventive Behaviors (PB)"
"EXTERMINATOR_12MO","never","text","Preventive Behaviors (PB)"
"EXTERMINATOR_12MO","1 time","text","Preventive Behaviors (PB)"
"EXTERMINATOR_12MO","2 times","text","Preventive Behaviors (PB)"
"EXTERMINATOR_12MO","3 times","text","Preventive Behaviors (PB)"
"EXTERMINATOR_12MO","4 or more times","text","Preventive Behaviors (PB)"
"EXTERMINATOR_12MO","unk","text","Preventive Behaviors (PB)"
"EMPLOYMENT_LOCATION","inside","text","Risk Indicator (RI)"
"EMPLOYMENT_LOCATION","outside","text","Risk Indicator (RI)"
"EMPLOYMENT_LOCATION","both","text","Risk Indicator (RI)"
"STUDY_LOCATION","inside","text","Risk Indicator (RI)"
"STUDY_LOCATION","both","text","Risk Indicator (RI)"
"STUDY_LOCATION","outside","text","Risk Indicator (RI)"
"EMPLOYMENT_INSIDE_SCREEN","none","text","Risk Indicator (RI)"
"EMPLOYMENT_INSIDE_SCREEN","all","text","Risk Indicator (RI)"
"EMPLOYMENT_INSIDE_SCREEN","unk","text","Risk Indicator (RI)"
"EMPLOYMENT_INSIDE_SCREEN","some","text","Risk Indicator (RI)"
"EMPLOYMENT_INSIDE_SCREEN","all that open","text","Risk Indicator (RI)"
"EMPLOYMENT_INSIDE_AC","always","text","Risk Indicator (RI)"
"EMPLOYMENT_INSIDE_AC","never","text","Risk Indicator (RI)"
"EMPLOYMENT_INSIDE_AC","sometimes","text","Risk Indicator (RI)"
"STUDY_INSIDE_SCREEN","none","text","Risk Indicator (RI)"
"STUDY_INSIDE_SCREEN","unk","text","Risk Indicator (RI)"
"STUDY_INSIDE_SCREEN","some","text","Risk Indicator (RI)"
"STUDY_INSIDE_SCREEN","all","text","Risk Indicator (RI)"
"STUDY_INSIDE_SCREEN","all that open","text","Risk Indicator (RI)"
"STUDY_INSIDE_AC","always","text","Risk Indicator (RI)"
"STUDY_INSIDE_AC","never","text","Risk Indicator (RI)"
"STUDY_INSIDE_AC","sometimes","text","Risk Indicator (RI)"
"HM9_PARTICIPATE","not eligible","text","Disparity Indicators (DI)"
"RATS","yes","text","Risk Indicator (RI)"
"RATS","no","text","Risk Indicator (RI)"
"RATS","unk","text","Risk Indicator (RI)"
"CISTERN","yes","text","Risk Indicator (RI)"
"CISTERN","no","text","Risk Indicator (RI)"
"CISTERN","unk","text","Risk Indicator (RI)"
"SEPTIC","yes","text","Risk Indicator (RI)"
"SEPTIC","no","text","Risk Indicator (RI)"
"SEPTIC","unk","text","Risk Indicator (RI)"
"VAX_DENV_RECOMMENDED","yes","text","Risk Indicator (RI)"
"VAX_DENV_RECOMMENDED","no","text","Risk Indicator (RI)"
"COVID19_RISK_CHILDREN","low","text","Risk Perception (RP)"
"COVID19_RISK_CHILDREN","high","text","Risk Perception (RP)"
"COVID19_RISK_CHILDREN","none","text","Risk Perception (RP)"
"HX_DENV","yes","text","Risk Perception (RP)"
"HX_DENV","no","text","Risk Perception (RP)"
"HX_DENV","unk","text","Risk Perception (RP)"
"HX_DENV_KNOWN","yes","text","Risk Perception (RP)"
"HX_DENV_KNOWN","no","text","Risk Perception (RP)"
"HX_DENV_KNOWN","unk","text","Risk Perception (RP)"
"DENGUE_DEATH","yes","text","Risk Perception (RP)"
"DENGUE_DEATH","no","text","Risk Perception (RP)"
"DENGUE_DEATH","unk","text","Risk Perception (RP)"
"BITE_FREQUENCY","daily","text","Risk Perception (RP)"
"BITE_FREQUENCY","sometimes","text","Risk Perception (RP)"
"BITE_FREQUENCY","rarely","text","Risk Perception (RP)"
"BITE_FREQUENCY","never","text","Risk Perception (RP)"
"DENV_RISK","low","text","Risk Perception (RP)"
"DENV_RISK","high","text","Risk Perception (RP)"
"DENV_RISK","nr","text","Risk Perception (RP)"
"DENV_RISK","none","text","Risk Perception (RP)"
"DENV_RISK","none dx","text","Risk Perception (RP)"
"WORRY_COVID19","yes","text","Risk Perception (RP)"
"WORRY_COVID19","no","text","Risk Perception (RP)"
"WORRY_COVID19","unk","text","Risk Perception (RP)"
"COVID19_RISK","low","text","Risk Perception (RP)"
"COVID19_RISK","high","text","Risk Perception (RP)"
"COVID19_RISK","none","text","Risk Perception (RP)"
